Scheme Code,Scheme Name
119337,Baroda Pioneer Dynamic Bond Fund - Plan B (Direct) - Growth Option
119341,BARODA PIONEER GILT FUND - Plan B (Direct) - Growth Option
119343,PineBridge Infrastructure & Economic Reform Fund- Direct Plan- Growth Option
119344,PineBridge World Gold Fund- Direct Plan- Growth Option
119347,L&T India Prudence Fund - Direct Plan-Growth
119350,BOI AXA Large & Mid Cap Equity Fund Direct Plan-Growth
119351,OI AXA Tax Advantage Fund-Direct Plan- Growth
119353,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Dividend Option
119354,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Growth Option
119360,PineBridge India Liquid Fund- Direct Plan- Growth Option
119362,BARODA PIONEER INCOME FUND - Plan B (Direct) - Growth Option
119364,BOI AXA Manufacturing & Infrastructure Fund-Direct Plan-Growth
119367,Baroda Pioneer Large cap Fund - Plan B (Direct) - Growth Option
119369,BOI AXA Liquid Fund- Direct Plan- Growth
119372,IIFL Dividend Opportunities Index Fund-Direct Plan - Growth
119376,PineBridge India Total Return Bond Fund- Direct Plan- Growth Option
119379,BOI AXA Ultra Short Duration Fund- Direct Plan- Growth
119382,BOI AXA Short Term Income Fund-Direct Plan- Growth
119385,PineBridge India Short Term Fund- Direct Plan- Growth Option
119389,BARODA PIONEER MIP FUND - Plan B (Direct) - Growth Option
119392,Baroda Pioneer Mid-cap Fund- Plan B (Direct) - Growth Option
119393,BOI AXA Conservative Hybrid Fund Fund-Direct Plan-Growth
119397,L&T India Special Situations Fund-Direct Plan-Growth
119400,Baroda Pioneer Short Term Bond Fund - Plan B (Direct) - Growth Option
119404,L&T India Value Fund-Direct Plan-Growth
119407,L&T Indo Asia Fund-Direct Plan-Growth Option
119410,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Growth Option
119413,L&T Infrastructure Fund -Direct Plan-Growth
119415,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - GROWTH OPTION
119417,L&T  Tax Advantage Fund-Direct Plan-Growth
119420,L&T Global Real Assets Fund-Direct Plan-Growth Option
119424,Tata Liquid Fund- Direct Plan- Growth
119425,L&T Gilt Fund - Direct Plan - Growth
119428,L&T Flexi Bond Fund - Direct Plan- Growth
119431,L&T Floating Rate Fund -Direct Plan- Growth
119434,Principal Retail Equity Savings Fund - Direct Plan - Growth Option
119436,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan
119438,Principal Dividend Yield Fund - Direct Plan - Growth Option
119441,Principal Emerging Bluechip Fund - Direct Plan - Growth Option
119444,Tata Liquidity Management Fund- Direct Plan-Growth
119448,Principal Low Duration Fund - Direct Plan - Growth Option
119450,Principal Credit Opportunities Fund - Direct Plan - Growth Option
119451,Principal Multi Cap Growth Fund - Direct Plan -Half Yearly Dividend Option
119452,Principal Multi Cap Growth Fund-Direct Plan - Growth Option
119453,Principal Government Securities Fund-Direct Plan - Growth Option
119457,Principal Global Opportunities Fund-Direct Plan - Growth Option
119461,Principal Dynamic Bond Fund - Direct Plan - Growth Option
119462,Principal Short Term Income Fund- Direct Plan  - Growth Option
119464,Principal Large Cap Fund- Direct Plan - Growth Option
119468,Principal Cash Management Fund - Direct Plan - Growth Option
